8 secondsねえ、起きて。 起床。
0:1515 secondsねえ、起きて。ねえ、起きて。もう起きたよ。もう起きたよ。
0:2626 seconds異人は もう起きたよ。もう起きたよ。顔を洗った。顔を洗った。
0:3939 secondsシリアのま、 顔を洗った。顔を洗った。うん。洗った。うん。洗った。うん。
0:5555 secondsしご うんった。うん。洗った。ハも磨いた。ハモ
1:111 minute, 11 seconds刷好了。 ハモ。歯も磨いた。もちろん。もちろん。
9:309 minutes, 30 seconds本当に楽しい。 本当に楽しい。お腹空いた。お腹空いた。
9:449 minutes, 44 secondsお腹空いた。お腹空いた。少し空いた。少し空いた。
9:569 minutes, 56 secondsよいでんで。あ、 少し空いた。
10:0310 minutes, 3 seconds少し空いた。ご飯食べよう。ご飯食べよう。吃飯。
10:1410 minutes, 14 secondsご飯食べよう。ご飯食べよう。 何食べる?何食べる?
10:2410 minutes, 24 seconds想吃什 我想吃麵包?
10:4010 minutes, 40 secondsパンがいい。パンがいい。私はご飯。 私はご飯。ファ。
10:5410 minutes, 54 seconds私はご飯。私はご飯。美味しいね。美味しいね。
11:0411 minutes, 4 seconds好。 美味しいね。おいしいね。うん。美味しい。うん。美味しい。
11:1811 minutes, 18 secondsうん。味道很棒。うん。美味しい。うん。美味しい。もっと食べる。もっと食べる。
11:3311 minutes, 33 seconds還要再 もっと食べる。もっと食べる。もう十分。もう十分。
11:4911 minutes, 49 secondsもう十分もう十分水飲む。水飲む喝水 水飲む。
12:0512 minutes, 5 seconds水飲む。ありがとう。ありがとう。シし。
12:1512 minutes, 15 secondsありがとう。ありがとう。いただきます。 いただきます。
12:2512 minutes, 25 seconds我開動。 いただきます。 いただきます。だきます。
12:3612 minutes, 36 secondsいただきます。開動。 いただきます。だきます。ご馳様。ご馳様。吃ち様。ご馳様。ごちそう様。
13:0513 minutes, 5 secondsご馳そう様 ご馳そ様ご馳そ様ある宿題ある
13:2113 minutes, 21 secondsよぞえ 宿題ある宿題あるあるよある
13:3113 minutes, 31 secondsよ ひだ。 あるよ。あるよ。難しい難しい。
13:4613 minutes, 46 seconds船 難しい難しい少し難しい少し難しいでな。
14:0214 minutes, 2 seconds少し難しい。少し難しい。手伝王か。手王か。
14:1514 minutes, 15 secondsバマまマ。 鉄田王か。鉄田王か。お願い。
14:3114 minutes, 31 secondsお願い。お願い。ここがわからない。ここがわからない。 這裡。
14:4414 minutes, 44 secondsここが分からない。ここがわからない。簡単だよ。簡単だよ。簡単だ。
14:5814 minutes, 58 seconds簡単だよ。 簡単だよ。こうするの。こうするの。這樣做。
15:1315 minutes, 13 secondsこうするの。こうするの分かった。わかった。
15:2515 minutes, 25 seconds我明白了。 分かった。 わかった。ありがとう。ありがとう。
15:4115 minutes, 41 secondsシジに ありがとう。ありがとう。どういたしまして。どういたしまして。
15:5915 minutes, 59 secondsどういたしまして。どういたしまして。勉強しよう。勉強しよう。學習。
16:1316 minutes, 13 seconds勉強しよう。勉強しよう。一緒にやろう。一緒にやろう。
16:2616 minutes, 26 seconds一緒にやろう。一緒にやろう。何時に寝る?何時に寝る?
16:3616 minutes, 36 seconds幾點睡覺? 何時に寝る?何時に寝る?
16:4516 minutes, 45 seconds9時に寝る。 9時に寝る。
16:4916 minutes, 49 seconds9 點睡。 9時に寝る。 9時に寝る。眠くない?眠くない?
17:0517 minutes, 5 seconds眠くない?眠くない?ちょっと眠い。ちょっと眠い。
17:1817 minutes, 18 secondsちょっと眠い。 ちょっと眠い。早く寝よう。早く寝よう。さ、少しば。
17:3217 minutes, 32 seconds早く寝よう。早く寝よう。おやすみ。おやすみ。
17:4517 minutes, 45 secondsわあ。 おやすみ。 おやすみ。また明日ね。また明日ね。
17:5917 minutes, 59 seconds民間やが、 また明日ね。また明日ね。いい夢見てね。いい夢見てね。
18:1518 minutes, 15 seconds好。 いい夢見てね。いい夢見てね。今日は寒いね。今日は寒いね。
18:2918 minutes, 29 seconds今天好冷。 今日は寒いね。今日は寒いね。本当に寒い。本当に寒い。
18:4418 minutes, 44 seconds確本当に寒い。本当に寒い。上着を着て。上着を着て。
18:5818 minutes, 58 seconds把外套穿上。 上着をつけて。上着をつけ。はい。切るね。はい。切るね。
19:1219 minutes, 12 seconds肌。我穿上。 はい、キるね。はい、キるね。雨が降ってる。雨が降ってる。
19:2919 minutes, 29 seconds雨が降ってる。雨が降ってる。
19:3419 minutes, 34 seconds傘を元と傘を元 帶上魚散を持とう傘を持とう忘れないでね忘れないでね。
19:5919 minutes, 59 seconds忘れないでね。忘れないでね。 分かったよ。分かったよ。
20:1120 minutes, 11 seconds知道。 分かったよ。分かったよ。風が強いね。風が強いね。
20:2820 minutes, 28 seconds風が強いね。風が強いね。 気をつけよう。気をつけよう。小心。気をつけよう。気をつけよう。空が綺麗。空が綺麗。
20:5220 minutes, 52 seconds天空好美。 空が綺麗。空が綺麗。星が見えるね。
21:0321 minutes, 3 seconds星が見えるね。看見星。 星が見えるね。星が見えるね。あれ何?あれ何?
21:2421 minutes, 24 secondsあれ何?あれ何?鳥だよ。 鳥だよ。
21:3521 minutes, 35 seconds小 鳥だよ。鳥だよ。飛んでるね。飛んでるね。
21:5221 minutes, 52 seconds飛んでるね。飛んでるね。可愛いね。 可愛いね。
22:0622 minutes, 6 seconds可愛いね。 可愛いね。猫がいる。猫がいる。
22:1722 minutes, 17 seconds那裡有這小貓。 猫がいる。猫がいる。本当だ。
22:2922 minutes, 29 seconds本当だ。
22:3222 minutes, 32 secondsだ、 本当だ。本当だ。触っていい?触っていい?
22:4422 minutes, 44 secondsいもい。 触っていい?触っていい?優しくね。優しくね。
22:5722 minutes, 57 seconds動作一くね。優しくね。逃げちゃった。逃げちゃった。
23:1123 minutes, 11 seconds他跑掉了。 逃げちゃった。逃げちゃった。残念だね。残念だね。
23:2723 minutes, 27 seconds残念だね。残念だね。元気だった。元気だった。
23:3723 minutes, 37 seconds最近的好嗎? 元気だった。元気だった。元気だよ。元気だよ。
23:5423 minutes, 54 seconds元気だよ。元気だよ。最近どう?最近どう?
24:0424 minutes, 4 seconds你最近怎麼や? 最近どう?最近どう?楽しく過ごしてる。楽しく過ごしてる。
24:2224 minutes, 22 seconds楽しく過ごしてる。楽しく過ごしてる。仕事は忙しい。仕事は忙しい。
24:3424 minutes, 34 seconds工作很忙。 仕事は忙しい。仕事は忙しい。
24:4424 minutes, 44 seconds少し忙しい。少し忙しい。有點 少し忙しい。少し忙しい。大変だね。大変だね。
25:0825 minutes, 8 seconds大変だね。大変だね。 でも楽しいよ。でも楽しいよ。
25:1825 minutes, 18 seconds工作意だ。でも楽しいよ。でも楽しいよ。頑張ってね。頑張ってね。
25:3225 minutes, 32 seconds母じゃよ。 頑張ってね。頑張ってね。ありがとう。
25:4325 minutes, 43 secondsありがとう。
25:4525 minutes, 45 secondsし、 ありがとう。ありがとう。今何してる?今何してる?
25:5825 minutes, 58 seconds現在什? 今何してる?今何してる?本を読んでる。本を読んでる。
26:1226 minutes, 12 seconds書を読んでる。本を読んでる。面白い。面白い。
26:2826 minutes, 28 seconds面白い。面白い。すごく面白い。すごく面白い。
26:4126 minutes, 41 secondsすごく面白い。すごく面白い。映画を見る。映画を見る。
26:5226 minutes, 52 seconds要不要看電影?
26:5526 minutes, 55 seconds映画を見る。映画を見るみたいな。みたいな みたいな。
27:1027 minutes, 10 secondsみたいな。何を見る?何を見る?看什?
27:2127 minutes, 21 seconds何を見る?何を見る?好きな映画でいいよ。好きな映画でいいよ。
27:3227 minutes, 32 seconds看你喜歡的好。 好きな映画でいいよ。
27:3927 minutes, 39 seconds好きな映画でいいよ。一緒に見よう。一緒に見よう。一
27:5027 minutes, 50 seconds一緒に見よう。一緒に見よう。いい時間だね。いい時間だね。真 いい時間だね。いい時間だね。
28:0928 minutes, 9 seconds今日は疲れた。今日は疲れた。今天好。 今日は疲れた。今日は疲れた。お疲れ様。お疲れ様。
28:2828 minutes, 28 seconds新に。 お疲れ様。お疲れ様。少し休もう。
28:3928 minutes, 39 seconds少し休もう 少し休も少し休もそうしようそうしよう
28:5628 minutes, 56 seconds就這麼ば そうしよそうし 音楽を聞く。音楽を聞く。要聽聽音樂嗎?
29:1529 minutes, 15 seconds音楽を聞く。音楽を聞く。聞きたい。聞きたい。 想聽。
29:2829 minutes, 28 seconds聞きたい。聞きたい。 この曲好き。この曲好き。
29:3829 minutes, 38 seconds喜歡這首歌嗎?この曲好き。この曲好き。大好きだよ。大好きだよ。
29:5329 minutes, 53 seconds超喜。 大好きだよ。大好きだよ。
30:0130 minutes, 1 second歌える。歌える。 歌える。歌える。少し歌える少し歌える。ふて。
30:2630 minutes, 26 seconds少し歌える。少し歌える。 上手だね。上手だね。很好聽。上手だね。上手だね。ありがとう。ありがとう。
30:4930 minutes, 49 seconds謝謝誇獎。 ありがとう。ありがとう。
30:5730 minutes, 57 seconds買い物に行く。買い物に行く。東西。 買い物に行く。買い物に行く。行こう。行こう。
31:1531 minutes, 15 secondsそば。 行こう。行こう。 何を買う?何を買う?什?何を買う?何を買う?野菜を買う。野菜を買う。
31:4431 minutes, 44 seconds野菜を買う。野菜を買う。これ安いね。 これ安いね。
31:5931 minutes, 59 secondsこれ安いね。これ安いね。本当だね。本当だね。
32:1332 minutes, 13 seconds本当だね。本当だね。 どっちがいい?どっちがいい?どっちがいい?どっちがいい?こっちがいい。こっちがいい。
32:3932 minutes, 39 secondsこっちがいい。こっちがいい。
32:4432 minutes, 44 seconds袋い袋子 袋はいどうぞ。
33:0433 minutes, 4 secondsほちなほ。 はい、どうぞ。はい、どうぞ。
33:1333 minutes, 13 seconds家に帰ろう。家に帰ろう。ほば。 家に帰ろう。家に帰ろう。そうだね。そうだね。うーん。
33:3633 minutes, 36 secondsそうだね。そうだね。 鍵持った。鍵持った。
33:5233 minutes, 52 seconds鍵持った。鍵持った。持ってるよ。持ってるよ。
34:0334 minutes, 3 secondsタイルな。 持ってるよ。持ってるよ。
34:1134 minutes, 11 seconds消した。電気消した。電燈關掉了。電気消した。電気消した。消したよ。消したよ。
34:2934 minutes, 29 seconds關掉。 消したよ。消したよ。とまりした。
34:3934 minutes, 39 seconds閉じまりした。 閉じまりした。戸締まりした。したよ。したよ。
34:5434 minutes, 54 seconds全部鎖したよ。したよ。 明日は何曜日?明日は何曜日?
35:0835 minutes, 8 seconds明天週。明日は何曜日?明日は何曜日?火曜日だよ。火曜日だよ。新
35:2635 minutes, 26 seconds火曜日だよ。火曜日だよ。 予定ある?予定ある?安排予定ある?予定ある?特にないよ。
35:4935 minutes, 49 seconds特にないよ。特別 特にないよ。特にないよ。遊びに行く。遊びに行く。ま、
36:0936 minutes, 9 seconds遊びに行く。遊びに行く。いいね。いいね。
36:2136 minutes, 21 secondsいいね。いいね。どこへ行く?どこへ行く?何?
36:3436 minutes, 34 secondsどこへ行く?どこへ行く?公園へ行こう。公園へ行こう。
36:4436 minutes, 44 seconds公園へ行こう。公園へ行こう。楽しみだね。楽しみだね。
36:5836 minutes, 58 secondsだ 楽しみだね。楽しみだね。うん。楽しみ。うん。楽しみ。
37:1237 minutes, 12 secondsうん。分期待。 うん、楽しみ。うん、楽しみ。元気にしてる。元気にしてる。
37:2737 minutes, 27 seconds最近一安好嗎? 元気にしてる。元気にしてる。元気だよ。元気だよ。挺好的。
37:4537 minutes, 45 seconds元気だよ。元気だよ。久しぶりだね。久しぶりだね。
37:5537 minutes, 55 seconds好久不見。 久しぶりだね。久しぶりだね。会いたかった。会いたかった。
38:0838 minutes, 8 seconds我一直很想見に。 会いたかった。会いたかった。私もだよ。私もだよ。
38:2538 minutes, 25 seconds私もだよ。私もだよ。話そう。話そう。
38:3838 minutes, 38 seconds話そう。話そう。 何の話?何の話?
38:4738 minutes, 47 seconds了解什? 何の話?何の話?最近のこと?最近のこと?
39:0139 minutes, 1 second說最近發生的事。 最近のこと。 最近のこと面白い話ある。面白い話ある。好的嗎?
39:1939 minutes, 19 seconds面白い話ある。面白い話ある?あるよ。あるよ。
39:3039 minutes, 30 secondsよ あるよ。あるよ。
39:3739 minutes, 37 seconds聞かせて聞かせて講聽聞かせて聞かせていいよいいよ
39:5439 minutes, 54 seconds沒問題 いいよいいよ笑ったねった ね。
40:1040 minutes, 10 seconds笑ったね。 笑ったね。楽しいね。楽しいね。
40:2240 minutes, 22 seconds好愉快。 楽しいね。楽しいね。また会おう。また会おう。
40:3940 minutes, 39 secondsまたおう。 また会おう。約束ね。約束ね。
40:5040 minutes, 50 seconds說好了。 約束ね。約束ね。忘れないよ。忘れないよ。
41:0741 minutes, 7 seconds忘れないよ。忘れないよ。大切にするね。大切にするね。
41:1841 minutes, 18 seconds我會好珍這約定。 大切にするね。大切にするね。ありがとう。ありがとう。
41:3641 minutes, 36 secondsありがとう。ありがとう。こちらこそ。こちらこそ。謝。
41:4841 minutes, 48 secondsこちらこそ。こちらこそ。頑張ろうね。頑張ろうね。
42:0442 minutes, 4 secondsね一緒に頑張る。一緒に頑張る。
42:1242 minutes, 12 seconds一同加油前行 一緒に頑張る。一緒に頑張る。大丈夫だよ。
42:2442 minutes, 24 seconds大丈だよ。一切都會順利。大丈夫だよ。大丈夫だよ。信じてるよ。信じてるよ。
42:4642 minutes, 46 seconds信じてるよ。信じてるよ。嬉しいな。 嬉しいな。心理なんだ。嬉しいな。嬉しいな。私も嬉しい。私も嬉しい。
43:1543 minutes, 15 seconds私も嬉しい。私も嬉しい。 笑顔でいよ。笑顔でよ。永遠保持笑容。笑顔で言よう。笑顔で言よう。そうしよ。そうしよ。這麼約定。
43:4343 minutes, 43 secondsそうしよ。そうしよう。今日もいい日だね。 今日もいい日だね。
43:5443 minutes, 54 seconds今天也是好的。今日もいい日だね。今日もいい日だね。明日もいい日だよ。明日もいい日だよ。天
44:1344 minutes, 13 seconds明日もいい日だよ。明日もいい日だよ。 また話そうね。また話そうね。次再好聊天。また話そうね。また話そうね。もちろん。もちろん。
44:4344 minutes, 43 secondsもちろん。もちろん。 気をつけて帰ってね。気をつけて帰ってね。
44:5344 minutes, 53 seconds路上小心回家。気をつけて帰ってね。気をつけて帰ってね。ありがとう。またね。ありがとう。またね。シザ。
45:1245 minutes, 12 secondsありがとう。またね。 ありがとう。またね。また会おう。また会おう。
45:2545 minutes, 25 seconds下次見。 また会おう。また会おう。

Sync to video time
