### 1. People & relationships

|  # | Japanese | Reading | English         |
| 132 | 前        | まえ      | front/before        |
| 133 | 後ろ       | うしろ     | behind              |
| 134 | 上        | うえ      | above/on            |
| 135 | 下        | した      | below/under         |
| 136 | 中        | なか      | inside              |
| 137 | 外        | そと      | outside             |
| 138 | 横        | よこ      | beside              |
| 139 | 向こう      | むこう     | over there/opposite |
| 140 | 角        | かど      | corner              |

### 8. Time

|   # | Japanese | Reading | English          |
| --: | -------- | ------- | ---------------- |
| 141 | 今朝       | けさ      | this morning     |
| 142 | 今晩       | こんばん    | tonight          |
| 143 | 昨日       | きのう     | yesterday        |
| 144 | 今日       | きょう     | today            |
| 145 | 明日       | あした     | tomorrow         |
| 146 | 最近       | さいきん    | recently         |
| 147 | 毎日       | まいにち    | every day        |
| 148 | 毎週       | まいしゅう   | every week       |
| 149 | 毎月       | まいつき    | every month      |
| 150 | 毎年       | まいとし    | every year       |
| 151 | 週末       | しゅうまつ   | weekend          |
| 152 | 来週       | らいしゅう   | next week        |
| 153 | 先週       | せんしゅう   | last week        |
| 154 | 来月       | らいげつ    | next month       |
| 155 | 先月       | せんげつ    | last month       |
| 156 | 来年       | らいねん    | next year        |
| 157 | 去年       | きょねん    | last year        |
| 158 | 時間       | じかん     | time             |
| 159 | 間        | あいだ     | interval/between |
| 160 | 場合       | ばあい     | case/situation   |

### 9. Common verbs

|   # | Japanese | Reading | English               |
| --: | -------- | ------- | --------------------- |
| 161 | 始める      | はじめる    | start something       |
| 162 | 始まる      | はじまる    | begin                 |
| 163 | 終わる      | おわる     | finish/end            |
| 164 | 続ける      | つづける    | continue              |
| 165 | 続く       | つづく     | continue/be continued |
| 166 | 決める      | きめる     | decide                |
| 167 | 選ぶ       | えらぶ     | choose                |
| 168 | 変える      | かえる     | change something      |
| 169 | 変わる      | かわる     | change                |
| 170 | 開ける      | あける     | open something        |
| 171 | 開く       | あく      | open                  |
| 172 | 閉める      | しめる     | close something       |
| 173 | 閉まる      | しまる     | close                 |
| 174 | 入れる      | いれる     | put in                |
| 175 | 入る       | はいる     | enter                 |
| 176 | 出す       | だす      | take out              |
| 177 | 出る       | でる      | leave/go out          |
| 178 | 忘れる      | わすれる    | forget                |
| 179 | 覚える      | おぼえる    | remember/learn        |
| 180 | 思う       | おもう     | think                 |

### 10. More common verbs

|   # | Japanese | Reading | English          |
| --: | -------- | ------- | ---------------- |
| 181 | 知る       | しる      | know/find out    |
| 182 | 考える      | かんがえる   | think/consider   |
| 183 | 説明する     | せつめいする  | explain          |
| 184 | 練習する     | れんしゅうする | practice         |
| 185 | 用意する     | よういする   | prepare          |
| 186 | 運転する     | うんてんする  | drive            |
| 187 | 連絡する     | れんらくする  | contact          |
| 188 | 約束する     | やくそくする  | promise          |
| 189 | 招待する     | しょうたいする | invite           |
| 190 | 運ぶ       | はこぶ     | carry/transport  |
| 191 | 送る       | おくる     | send             |
| 192 | 迎える      | むかえる    | pick up/welcome  |
| 193 | 返す       | かえす     | return something |
| 194 | 貸す       | かす      | lend             |
| 195 | 借りる      | かりる     | borrow           |
| 196 | 受ける      | うける     | receive/take     |
| 197 | 使う       | つかう     | use              |
| 198 | 作る       | つくる     | make             |
| 199 | 直す       | なおす     | repair/fix       |
| 200 | 壊れる      | こわれる    | break            |

### 11. Adjectives

|   # | Japanese | Reading | English           |
| --: | -------- | ------- | ----------------- |
| 201 | 大切       | たいせつ    | important         |
| 202 | 必要       | ひつよう    | necessary         |
| 203 | 簡単       | かんたん    | easy/simple       |
| 204 | 複雑       | ふくざつ    | complicated       |
| 205 | 特別       | とくべつ    | special           |
| 206 | 有名       | ゆうめい    | famous            |
| 207 | 安全       | あんぜん    | safe              |
| 208 | 危険       | きけん     | dangerous         |
| 209 | 静か       | しずか     | quiet             |
| 210 | 賑やか      | にぎやか    | lively            |
| 211 | 親切       | しんせつ    | kind              |
| 212 | 便利       | べんり     | convenient        |
| 213 | 不便       | ふべん     | inconvenient      |
| 214 | 元気       | げんき     | healthy/energetic |
| 215 | 暇        | ひま      | free/not busy     |
| 216 | 忙しい      | いそがしい   | busy              |
| 217 | 楽しい      | たのしい    | enjoyable         |
| 218 | 面白い      | おもしろい   | interesting/funny |
| 219 | 難しい      | むずかしい   | difficult         |
| 220 | 珍しい      | めずらしい   | rare/unusual      |

### 12. Useful descriptive & abstract vocabulary

|   # | Japanese | Reading | English      |
| --: | -------- | ------- | ------------ |
| 221 | 若い       | わかい     | young        |
| 222 | 年上       | としうえ    | older        |
| 223 | 暑い       | あつい     | hot weather  |
| 224 | 寒い       | さむい     | cold weather |
| 225 | 暖かい      | あたたかい   | warm         |
| 226 | 涼しい      | すずしい    | cool         |
| 227 | 明るい      | あかるい    | bright       |
| 228 | 暗い       | くらい     | dark         |
| 229 | 重い       | おもい     | heavy        |
| 230 | 軽い       | かるい     | light        |
| 231 | 近い       | ちかい     | near         |
| 232 | 遠い       | とおい     | far          |
| 233 | 早い       | はやい     | early/fast   |
| 234 | 遅い       | おそい     | late/slow    |
| 235 | 多い       | おおい     | many         |
| 236 | 少ない      | すくない    | few/little   |
| 237 | 同じ       | おなじ     | same         |
| 238 | 違う       | ちがう     | different    |
| 239 | 自由       | じゆう     | free/freedom |
| 240 | 便利       | べんり     | convenient   |

**Note:** 便利 appears twice in this practical list (#212 and #240), so if you're importing this into your JLPT Tutor database, **remove #240 or replace it with another N4 word**, such as **必要（ひつよう）** if your dataset doesn't already contain it.

For your application, I'd recommend storing each vocabulary item as something like:

```json
{
  "word": "テーブル",
  "reading": "てーぶる",
  "english": "table",
  "jlpt": "N4",
  "part_of_speech": "noun",
  "examples": []
}
```

Then you can generate **multiple N4 sentences per vocabulary word**, while separately tagging the grammar used in each sentence.
